A_id,B_id
2325,1303
2343,1999
2361,1264
2361,301
2361,1867
2361,2082
2367,2161
2397,2906
2412,1705
2421,2330
2421,2655
246,283
2478,2553
2478,1781
2478,263
2490,2208
2502,2000
2502,1454
2505,550
2511,1264
2514,1428
2547,1992
2568,558
2571,1460
258,1349
2589,2855
2592,2165
2622,2009
2628,1889
2631,2573
2646,1991
2691,2283
2697,1504
27,1528
2700,1124
2709,1955
2745,146
2763,943
2769,2634
2775,397
2805,1389
2808,497
2811,234
2811,1521
2811,55
2835,960
2844,2195
2850,3011
2862,1718
2862,210
2868,282
2871,2695
2874,405
2892,2442
2916,2805
2931,842
2955,1303
2976,2442
2994,2802
2994,2538
3012,2487
3015,2682
3027,13
303,1320
3030,2855
3042,465
3045,2712
3048,2290
3060,1260
3060,1254
3060,2181
3063,840
3075,689
3081,1718
3081,210
309,2003
3105,1390
3114,1351
312,200
345,639
348,1284
354,1288
363,549
375,585
375,2429
378,626
384,1362
420,1910
423,2022
426,862
429,521
441,156
450,276
453,2040
459,997
459,573
462,2732
465,2779
468,1314
468,428
474,2573
492,51
501,589
501,715
555,927
558,2847
561,897
561,2104
564,1404
579,1358
594,2201
624,2502
627,2043
639,1565
642,2855
675,460
678,511
714,1781
714,231
714,680
714,2553
717,1814
732,564
735,2267
738,105
750,629
753,1505
753,1640
768,790
771,1862
774,2357
783,2040
81,2798
81,2083
825,2423
84,652
84,2459
858,931
864,2516
87,490
870,1315
870,358
891,1291
894,1047
90,1743
900,998
921,779
933,431
936,1292
939,868
945,2204
945,990
945,775
972,1576
99,2923
99,2087
1012,457
1015,2274
1048,1646
1051,981
1060,2489
1069,1
1078,982
1081,1563
1090,298
1093,3002
1096,2386
112,387
1147,1011
115,2805
115,2844
1165,1390
1201,3003
1219,990
1225,2593
1225,57
1225,570
1225,555
1228,997
1246,1087
1246,1176
1246,1648
130,2252
130,1102
1300,1293
1300,270
1300,2255
1315,671
1318,1471
1318,1534
1321,364
1342,1065
1342,273
1342,2086
1342,2619
136,1567
1363,2003
1372,2397
1399,1389
1399,1564
142,1549
1426,1318
1438,1482
145,2554
1465,1929
1483,2498
1483,2780
1486,1929
1486,1699
1498,1003
1513,2033
1513,1830
1513,493
1516,615
1522,236
1525,1025
1555,552
1564,2476
1582,1033
160,2996
1609,1097
1615,1401
1621,2739
1630,1421
1636,1699
1639,2082
1639,301
1639,1264
1639,1867
1645,550
1648,2589
1651,2696
1651,882
1657,474
1660,2361
1675,659
1696,1842
1708,1003
1711,70
1714,1930
1747,2074
175,84
1774,599
178,539
1801,2515
1816,2641
1819,2226
1825,284
1843,1555
1843,28
1849,1948
1882,295
1882,2830
1885,1426
1885,970
1918,1147
193,1465
1936,2
1954,1994
1957,986
1960,158
1966,538
1966,2203
1981,1504
1984,2631
1990,1255
2005,1263
2011,2266
2017,2887
2029,2034
205,856
2050,1799
2071,935
2098,1490
2122,1223
2131,431
2134,724
2134,2073
2155,1355
2179,710
2179,2768
2200,1399
2203,2553
2203,2161
2203,231
2203,263
2203,41
2203,1998
2203,1781
2224,2978
2236,286
2281,2927
2284,1945
2296,2354
2299,1166
2299,1715
2308,471
2326,2842
2332,2325
2350,1700
2359,1225
2371,78
2371,165
2374,1471
2374,1534
2380,2542
2383,2494
2392,1114
2404,1158
2425,1416
2440,2419
2461,3005
2467,1856
2470,198
2473,2553
2473,1840
2473,1781
2473,231
2491,1310
250,385
2503,1288
2512,2909
2512,1040
2530,2410
2545,1692
2560,2033
2560,1830
2560,493
2572,2883
2575,2438
2581,159
259,157
2599,2877
2599,2799
2599,1394
2599,98
262,1277
262,2671
262,2454
2620,2865
2641,1107
2647,1752
2647,2521
2671,2199
2674,1534
2686,856
2701,2716
2704,2616
2710,25
2719,768
2731,2937
2737,1081
2740,2269
2746,433
2764,2143
277,2294
2782,505
2782,292
2818,1467
2821,2290
2824,2158
2845,1352
2848,1236
2848,1504
2848,503
2851,2639
2860,2877
2860,98
2860,949
2878,837
2881,2844
2905,2571
2911,2406
2914,612
2917,1819
2923,2787
2938,539
2944,1146
2959,568
2962,1636
2968,2010
3001,2451
3001,2219
3001,1448
3001,1481
3001,1504
3001,373
3001,1828
3001,1116
3001,1083
3001,881
3001,2008
3031,1233
3034,2233
3052,1004
3052,2219
3061,2144
3067,151
3076,1161
3082,1639
3088,563
3094,2224
3118,2353
3121,493
334,154
334,2235
34,1621
343,445
4,2089
40,998
43,1929
433,2226
439,2696
448,1361
451,1359
457,218
460,2563
469,2143
475,493
475,2033
496,2805
499,2363
505,840
508,1386
511,2406
520,2825
523,1283
523,872
547,1218
550,1512
577,304
607,270
607,1293
607,2255
61,2862
613,1155
634,198
64,2243
640,929
643,2806
655,2963
658,1814
664,990
67,2072
670,1471
685,2050
685,1789
688,1964
697,2565
7,2296
7,2820
706,2453
706,2652
709,1479
730,1835
742,2444
748,2374
751,1254
751,1260
751,2181
76,1341
799,2877
799,2799
799,98
799,1394
805,1006
817,1101
820,1471
823,663
844,612
856,2705
877,2554
877,621
886,800
886,2247
895,909
919,1740
949,2540
949,1706
949,742
961,73
97,2000
97,1454
982,1349
988,845
991,755
997,1311
2129,1557
378,626
2811,1521
2824,2158
2366,386
250,385
2819,717
2262,2481
1636,1699
1197,271
1425,2675
1711,70
193,1465
1053,2586
2224,2978
1703,2535
107,797
1251,2830
1427,844
137,1918
107,2716
1239,1921
1400,1283
1364,2942
1630,1421
3094,2224
1518,208
1954,1994
1486,1699
2459,1228
2825,1725
2825,1313
281,1366
1960,158
136,1567
1484,1674
1487,2891
2646,1991
1128,1806
2874,405
1522,236
2142,665
2169,1366
1372,2397
18,2484
2361,2082
1665,1928
1485,98
1487,1742
1908,807
1686,473
1233,1482
2773,824
441,156
1161,775
1688,2427
1936,2
2905,2571
1609,1097
2848,1743
1364,2039
2210,138
1254,759
1739,1473
18,2694
2343,1999
523,1283
2476,549
87,490
56,296
