name,duration,genre,release_date,directors,stars
Anne of Green Gables: The Complete Four-Part Collection (DVD),999 min,,06/29/2010,,"Marilyn Lightstone, Paul Brown, Barbara Hershey, Rachel Blanchard, Charmion King, Shirley MacLaine, Schuyler Grant, Jonathan Crombie, Rosemary Radcliffe, Patricia Hamilton, Colleen Dewhurst, Dawn Greenhalgh, Megan Follows, Jayne Eastwood, Jackie Burroughs, Richard Farnsworth, Vivian Reis"
Harry Potter and the Deathly Hallows: Part 2 (DVD),130 mins.,"Sci-Fi & Fantasy, Drama, Action & Adventure",,David Yates,"Rupert Grint, Daniel Radcliffe"
Transformers: Dark Of The Moon (DVD),154 min,"Drama, Action & Adventure",09/30/2011,Michael Bay,"Shia LaBeouf, John Malkovich, Rosie Huntington-Whiteley, Tyrese Gibson, Patrick Dempsey, Frances McDormand, John Turturro, Josh Duhamel, Brett Stimely"
Bridesmaids / The Boss / Identity Thief (DVD),,Comedy,,,
Cool Runnings: The Reggae Movie (DVD),105,Music & Performance,01/01/1980,Robert Mugge,"Gregory Isaacs, Gil Scott-Heron, Rita Marley, Ziggy Marley, Gil Scott-Herron"
1970 Kelly'S Heroes Movie Poster Eastwood Sutherland Ww2 War Comedy 24X36,,,,,
Man Of Steel (4K Ultra HD + Blu-ray + Digital HD),143,Action & Adventure,07/19/2016,Zack Snyder,"Amy Adams, Henry Cavill, Michael Shannon"
Mr. Blandings Builds His Dream House (DVD),94 min,,06/01/2004,,"Jason Robards, Sr., Melvyn Douglas, Don Messick, Jason Robards Sr., Cary Grant, Lex Barker, Myrna Loy, Frank Graham, Louise Beavers, Reginald Denny"
The Boy in the Striped Pajamas (Blu-ray + Digital HD),94 min,Drama,07/19/2011,Mark Herman,"Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien,Domonkos Németh"
Deja Vu (DVD),126 min,Action,04/24/2007,Tony Scott,"James Caviezel, Denzel Washington, Paula Patton, Adam Goldberg, Bart Hansard, Val Kilmer, Pat Noday"
Maverick (DVD),127 min,Western,09/08/2009,Richard Donner,"Paul Smith, Art LaFleur, James Coburn, Jodie Foster, Mel Gibson, James Garner, Graham Greene, Noah Emmerich"
Strange Affair (DVD),79,Comedy,05/01/2012,Alfred E. Green,"Edgar Dearing, Evelyn Keyes, Allyn Joslyn, Ray Teal, Marguerite Chapman, John Wengraf, Carole Mathews, Nina Foch, Erik Rolf, Edgar Buchanan, Hugo Haas"
The Kid With The X-Ray Eyes,85,"Sci-Fi & Fantasy, Drama, Comedy",07/31/2012,Sherman Scott,"Robert Carradine, Justin Berfield, Brinke Stevens, Mark Collie, Diane Salinger, Griffen Drew"
The Shirley Temple Collection: Volume 3 (DVD),477 mins.,Music & Performance,01/13/2015,David Butler,"Sidney Blackmer, Frank McGlynn, Bill Robinson, Guinn Williams, Bessie Lyle, Willie Best, John Lodge, Lionel Barrymore, John Boles, Evelyn Venable, Shirley Temple, Jack Holt"
The Sound of Music Live! (DVD),132,"Drama, Music & Performance",12/17/2013,,"Audra McDonald, Christian Borle, Stephen Moyer, Carrie Underwood, Laura Benanti"
The 'Burbs (DVD),97 min,"Foreign, Comedy",05/04/1999,Joe Dante,"Bruce Dern, Tom Hanks, Corey Feldman, Rick Ducommun, Carrie Fisher"
John Cassavetes: Five Films (Blu-ray),746 min,Drama,10/22/2013,John Cassavetes,"David Jones, Donna Gordon, Rupert Crosse, Tom Allen, Lelia Goldoni, Fred Draper, Matthew Laborteaux, John Marley, Davey Jones, Mario Gallo, Lady Rowlands, O G Dunn, Al Ruban, Hugh Hurd, Anthony Ray, Virginia Carrington, Alice Friedland, Seymour Cassel, James Joyce, Christina Grisanti, James Bridges, Gene Darfler, Timothy Carey, Robert Phillips, Cliff Carnell, Jack Ackerman, Dennis Sallas, Dorothy Gulliver, Morgan Woodward, Haji, Tom Reese, Azizi Johari, Gena Rowlands, Ben Carruthers, David Pokitillow, Darlene Conley, Angelo Grisanti, John Finnegan, Matthew Cassel, Lynn Carlin, Victoria Vargas, Meade Roberts, Eddie Shaw, John Cassavetes, Ben Gazzara, Pir Marini, Katherine Cassavetes, John ""Red"" Kullers, Peter Falk"
Good Kill (Blu-ray),102 min,Drama,12/31/2015,Andrew Niccol,"Jake Abel, Ethan Hawke, Bruce Greenwood"
Just Go With It (DVD),116 min,Comedy,06/07/2011,Dennis Dugan,"Jennifer Aniston, Adam Sandler, Nicole Kidman, Brooklyn Decker, Nick Swardson"
The Legend Of Billie Jean (DVD),95,Drama,07/22/2014,Matthew Robbins,"Richard Bradford, John Jackson, Rodney Rincon, Keith Gordon, Mona Fultz, Helen Slater, Bobby Fite, Christian Slater, Rudy Young, Peter Coyote, Caroline Williams"
Meet John Doe (DVD),,Drama,,Frank Capra,Andrew Tombes
QUEEN-LIVE AT THE RAINBOW 74 (DVD) (DVD),150 mins.,Music,,,Queen
Romantic Comedies - 6 Movie Set,"607 mins., 115 mins.",,04/16/2013,"Thom Eberhardt, Alan Alda, Fernando Trueba, Allan Moyle, Luis Mandoki, Nick Castle","Alice Carter, Eli Wallach, Don Johnson, Bill Pullman, Todd Field, Robert Goulet, Austin Pendleton, Polly Holliday, Burt Young, Edward Herrmann, Xander Berkeley, Robert Desiderio, Michael Ensign, Joe Pesci, Julie Bovasso, Alfre Woodard, Julianne Moore, Eric Thal, Vincent Schiavelli, Dylan Walsh, Ally Sheedy, John Goodman, Rutanya Alda, Ellen DeGeneres, William Forsythe, Ray McKinnon, Joan Plowright, Michael O'Neill, Melanie Griffith, Briant Wells, Bibi Besch, J.C. Quinn, Anthony LaPaglia, Danny Aiello, Joan Cusack, John Livingston, Daphne Zuniga, Andy Romano, Cathy Moriarty, Joey Bishop, Alan Alda, Molly Ringwald, Dean Stockwell, Daryl Hannah, Matthew Modine, Nicolas Coster, Gabino Diego, Antonio Banderas, Brad Henke, Benjamin Bradlee, Louis Seeger, Alan Rich, Max Perlich, Phil Leeds, Christopher John Fields, Catherine O'Hara, Nora Dunn, Penelope Miller, Christine Lahti, Ellen Cleghorne, Fred Thompson, Zakes Mokae, Madeline Kahn, John Scott Clough"
Frankenstein's Castle of Freaks (Elvira's Movie Macabre) (DVD),89 min,Horror,09/19/2006,Robert H Oliver,"Loren Ewing, Allan Collins, Alessandro Perrella, Simonetta Vitelli, Xiro Papas, Gordon Mitchell, Salvatore Baccaro, Michael Dunn, Edmund Purdom, Rossano Brazzi, Christiane Rucker"
Eloise At Christmastime (DVD),88 min,"Kids & Family, Anime & Animation",11/16/2004,Kevin Lima,"Debra McGrath, Jonas Chernick, Gene DiNovi, Graham Harley, Gavin Creel, Araxi Arslanian, Tannis Burnett, Sean Gallagher, Neil Crone, Julie Andrews, Rothaford Gray, Seann Gallagher, Sarah Topham, Kenneth Walsh, Arlene Duncan, Victor A. Young, Victor Young, Sofia Vassilieva, Colm Magner"
Studio Classics: An Affair To Remember / Leave Her To Heaven / A Letter To Three Wives / Peyton Place (Fox 75th Anniversary),489,Drama,01/22/2010,"Mark Robson, Leo McCarey, Joseph L. Mankiewicz, John Stahl","Cary Grant, Deborah Kerr, Gene Tierney, Cornel Wilde, Ann Sothern, Lana Turner, Lee Philips"
Blockers (Blu-ray + DVD + Digital),102 min,Comedy,,Kay Cannon,"Leslie Mann,John Cena,Ramona Young"
Great Sci-Fi Classics: Volume 4 (DVD),344,,06/24/2003,,"Gene Nelson, Victor Kilian, Bruce Kellogg"
Golf with your friends - The Three Stooges 36x24 Art Print Poster Classic Comedy Humor Funny Movie Still Photographs Black and White,,,,,
Statler Brothers: The Gospel Music of Volume One (DVD),90,"Religion & Spirituality, Music & Performance",05/18/2010,Doug Stuckey,"The Statler Brothers, Bill Gaither"
David Gilmour: Live at Pompeii (Blu-ray),,"Documentary, Music & Performance",,,
Peter Rabbit (DVD),189 min,Comedy,,Will Gluck,"Colin Moody, Marianne Baptiste, Rose Byrne, James Corden, Domhnall Gleeson, Ben Mendelsohn, Sam Neill"
