name,duration,genre,release_date,directors,stars
20 First Ladies of Country (DVD),65 min,Music & Performance,06/10/2008,,"Gail Davies, Tanya Tucker, Patti Stone, Denice Price, Karen-Taylor-Goode"
"Comedy Of Terrors/The Raven, The (Widescreen)",165,dvd - HORROR,08/26/2003,Roger Corman,"Vincent Price, Peter Lorre, Boris Karloff, Joyce Jameson, Joe E. Brown, Basil Rathbone, Hazel Court, Jack Nicholson, Olive Sturgess"
The Flintstones In Viva Rock Vegas (DVD),91 min,"Foreign, Comedy",01/09/2007,Brian Levant,"Joan Collins, David Jean Thomas, Stephen Baldwin, Thomas Gibson, Mark Addy, Jane Krakowski, Kristen Johnston"
How to Train Your Dragon: The Hidden World (Blu-ray + DVD + Digital Copy),,Anime & Animation,,Dean DeBlois,"America Ferrera, F. Murray Abraham, Jay Baruchel"
The Oblong Box (DVD),96 min,Horror,10/20/2015,Gordon Hessler,"Vincent Price, Christopher Lee"
Tyler Perry's The Single Moms Club (Blu-ray),111 min,Comedy,07/22/2014,Tyler Perry,"William E. Jackson Ii, Nia Long, Cranston Johnson, Zulay Henao, Cocoa Brown, Amy Smart, Wendi McLendon-Covey, Kendra C Johnson, Dan Chandler, Vanessa Velasco"
Pitch Perfect Aca-Amazing 2-Movie Collection (DVD),227,Comedy,01/26/2016,,"Anna Kendrick, Anna Camp, Brittany Snow, Rebel Wilson, Alexis Knapp, Ester Dean, Elizabeth Banks, Skylar Astin"
Herbie: Fully Loaded (DVD),102 min,Anime & Animation,10/25/2005,Angela Robinson,"Matt Dillon, Michael Keaton, Justin Long, Cheryl Hines, Lindsay Lohan, Breckin Meyer"
Treasure Planet (DVD),95 min,Action & Adventure,04/29/2003,Ron Clements,"David Hyde Pierce, Michael Wincott, Emma Thompson, Jack Angel, Joseph Gordon-Levitt, Brian Murray"
The Real Ghostbusters: Complete Collection (DVD),24 min,,07/05/2016,,"Frank Welker, Maurice LaMarche, Arsenio Hall, Lorenzo Music, Laura Summer"
John Carter: Princess of Mars (DVD),90 min,Sci-Fi & Fantasy,04/10/2012,Mark Atkins,"Noelle Perris, Chacko Vadaketh, Antonio Sabato, Jr., Matt Lagan, Antonio Sabato Jr., Matt Lasky, Mitchell Gordon, Traci Lords"
Star Wars: Episode I: The Phantom Menace (Steelbook) (Blu-ray),136 min,Sci-Fi & Fantasy,11/10/2015,George Lucas,"Liam Neeson, Natalie Portman, Ewan McGregor"
Auntie Mame (DVD),143 min,Comedy,11/09/2010,Morton Da Costa,"Rosalind Russell, Roger Smith, Coral Browne, Forrest Tucker, Fred Clark"
Our Gang Volume 2 (DVD),188 min,Drama,04/20/2004,,"Darla Hood, Jackie Cooper"
The Call (DVD),94,Drama,06/25/2013,Brad Anderson,"Alisa Hensley-Lane, Michael Eklund, Halle Berry, Steven Williams, David Otunga (Punk), Cheyne Collins, Tyler, Nicola, David Otunga, Chennin Blanc, Evie Louise Thompson, Abigail Breslin, Earl Slate, Morris Chestnut, Kelsey Heart, Kelsey Hart, Thomas Rosales Jr., Evie Thompson, Michael Imperioli, Inari Vachs, Billy Glyde, Jay Potter"
Ransom (Blu-ray),121 min,Action & Adventure,06/05/2012,Ron Howard,"Jose Zuniga, Paul Guilfoyle II, Delroy Lindo, Rene Russo, Mel Gibson, Lili Taylor, Brawley Nolte, Gary Sinise"
Cheers: The Complete Eighth Season (DVD),619,,06/13/2006,,"Ted Danson, Kelsey Grammer, Woody Harrelson, Bebe Neuwirth, John Ratzenberger, Georgia Brown, Kirstie Alley, George Wendt, Anne de Salvo, Rhea Perlman"
Walking Tall: The Trilogy (DVD),346 min,"Drama, Action & Adventure",05/15/2012,Earl Bellamy,"Luke Askew, Robert DoQui, Margaret Blye, Libby Boone, Gene Evans, Forrest Tucker, Leif Garrett, Richard X. Slattery, Lynn Borden, Felton Perry, Bruce Glover, Ed Call, Joe Don Baker, Lurene Tuttle, Noah Beery Jr., Arch Johnson, John Brascia, Brenda Benet, Sidney Clute, Bo Svenson, Morgan Woodward, Douglas Fowley, Rosemary Murphy, Elizabeth Hartman, Archie Grinalds"
Japanese Superhero: Starman: Attack From Space (1965) / Atomic Rulers of The World (1964) / Evil Brain From Outer Space (1956),79 mins.,"Sci-Fi & Fantasy, Drama",01/03/2012,,Ken Utsui
4 Film Favorites: Teenage Mutant Ninja Turtles (DVD),365 min,Action & Adventure,,Steve Barron,"Leif Tilden, Michelan Sisti, Josh Pais"
Barbie & Her Sisters in a Pony Tale (DVD),75,Anime & Animation,10/22/2013,Kyran Kelly,"Kazumi Evans, Kelly Sheridan, Claire Corlett, Alex Kelly"
AC/DC: Every Which Way (DVD),205,Documentary,02/10/2015,,AC/DC
The Man Who Knew Too Much (DVD),120 min,"Drama, Mystery & Suspense",02/07/2006,Alfred Hitchcock,"Daniel Gélin, Brenda de Banzie, Bernard Miles, Daniel G lin, Doris Day, James Stewart, Ralph Truman"
The Best of Dr. Seuss (DVD),57 min,,11/18/2003,,
All Access Tonight: Live in Concert (DVD),84 min,Special Interests,,,Foreigner
Summer's Shadow (DVD),102 min,"Kids & Family, Drama",06/02/2015,Steve Franke,"Walter Klavun, Norman McKay, Humphrey Davis, Robert Gardett, Chris Bohn, Norman Burton, Sid Raymond, Frank Marth, Tom Reynolds, Eric Fleming, Ned Glass, Nancy Malone"
The Sword in the Stone (50th Anniversary Edition) (Blu-ray + DVD + Digital Copy),79 min,"Anime & Animation, Action & Adventure",08/06/2013,Wolfgang Reitherman,"Ginny Tyler, Rickie Sorensen, Sebastian Cabot, Thurl Ravenscroft, Alan Napier, Junius Matthews, Bill Peet, Rickie Sorenson, Norman Alden"
Planet Of The Apes (DVD),124,Action & Adventure,03/11/2002,Tim Burton,"Cary-Hiroyuki Tagawa, Tim Roth, Mark Wahlberg, Estella Warren, Helena Bonham Carter, Kris Kristofferson, Paul Giamatti, Michael Clarke Duncan, Lucas Elliott, Evan Parke"
The Spanish Prisoner (DVD),110,Drama,02/05/2013,David Mamet,"Ricky Jay, Steve Martin, Jerry Graff, Ben Gazzara, David Pittu, G Roy Levin, Rebecca Pidgeon, Richard L Friedman, Gary McDonald, Sandy Martin, Campbell Scott, Christopher Kaldor, Michael Robinson, Hilary Hinckle"
Jupiter Ascending (Blu-ray),127 min,Drama,05/19/2015,Lana Wachowski,"Channing Tatum, Tuppence Middleton, Mila Kunis, Sean Bean, Eddie Redmayne"
The Road to Christmas (DVD),88 min,Comedy,10/26/2010,Mark Jean,"Barbara Gordon, Tantoo Cardinal, Megan Park, Clark Gregg, Marvin Ishmael, Jean-Michel Pare, Ingrid Hart, Jessica Booker, Lorne Cardinal, Jennifer Grey"
Never Say Goodbye (DVD),97 min,Drama,,Jerry Hopper,"Rock Hudson, Cornell Borchers, George Sanders"
TUCKER TANYA-LIVE IN CONCERT (DVD) (DVD),108 mins.,Music & Performance,09/09/2014,,
Slumdog Millionaire (DVD),120 min,Drama,03/31/2009,Loveleen Tandan,"Freida Pinto, Anil Kapoor, Madhur Mittal, Irfan Khan, Dev Patel"
Double Trouble (DVD),92 min,"Romance, Music & Performance",07/17/2007,Norman Taurog,"The Wiere Brothers, Elvis Presley, Yvonne Romain, John Williams, Annette Day, Chips Rafferty"
QUEEN-DAYS OF OUR LIVES (DVD) (DVD),165 mins.,Music & Performance,01/24/2012,Matt O'Casey,"Queen, Brian May, John Deacon, Freddie Mercury, Roger Taylor"
Graffiti Bridge (Blu-ray),"95 mins., 89 mins.",Musical,,Prince,Prince
Into the Woods (DVD),125 min,Anime & Animation,03/24/2015,Rob Marshall,"Claudette Sutherland, Meryl Streep, Johnny Depp, Lu Leonard, Beth Broderick, Vivian Paxton, Dirk Shafer"
Mystery Classics Volume 4 (DVD),256 min,Mystery & Suspense,01/01/1980,,"Bela Lugosi, Nigel Bruce, Basil Rathbone"
Life-Size (DVD),89 min,,05/30/2000,,"Ann Marie Loder, Alf Humphreys, Kerry Sandomirsky, Anne Marie Loder, Jillian Fargey, Corrine Koslo, Tyra Banks, Tom Butler, Garwin Sanford, Jere Burns, Deejay Jackson, Lindsay Lohan, Katelyn Wallace"
Captain America: The First Avenger (Blu-ray + Digital),123 min,Action & Adventure,,Joe Johnston,"Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones, Hugo Weaving, Dominic Cooper, Richard Armitage, Stanley Tucci, Samuel L. Jackson"
Father Figures (DVD),112 min,Comedy,,Lawrence Sher,"Christopher Walken, J. K. Simmons, Katt Williams, Harry Shearer, June Squibb, Ving Rhames, Ed Helms, Terry Bradshaw, Owen Wilson, J.K. Simmons, Glenn Close"
George Straight - The Cowboy Rides Away: Live From AT&T Stadium,185 mins.,Music & Performance,08/28/2015,,
Jumanji (1995) (DVD),104 min,Action & Adventure,,Joe Johnston,"Bradley Pierce, Adam Hann-Byrd, Kirsten Dunst, Patricia Clarkson, Bebe Neuwirth, Laura Bundy, Jonathan Hyde, James Handy, David Grier, Bonnie Hunt, Robin Williams"
Creed II (DVD),,Action & Adventure,,,"Michael B. Jordan, Tessa Thompson, Sylvester Stallone"
Valerian and the City of a Thousand Planets (DVD),137 min,Drama,,Luc Besson,"Dane DeHaan,Cara Delevingne,Clive Owen"
Wolf Children: The Movie (DVD),117 min,Anime & Animation,11/26/2013,Mamoru Hosoda,"Colleen Clinkenbeard, Alison Viktorin"
He Was a Quiet Man (DVD),99 min,Comedy,01/15/2008,Frank Cappello,"Michael DeLuise, Cristina Lawson, William H. Macy, Jamison Jones, Christian Slater, Sewell Whitney, Elisha Cuthbert, K.C. Ramsey, Randolph Mantooth, Maggie Wagner"
Paradise for Three / Miracles for Sale (DVD),149.00 min,Comedy,01/18/2011,Edward Buzzell,"Robert Young, Richard Loo, Frederic Worlock, Astrid Allwyn, Cliff Clark, Walter Kingsford, Florence Wix, Frank Craven, Frank Morgan, William Demarest, Sig Rumann, Gloria Holden, Henry Hull, Herman Bing, John Picorri, Mary Astor, Charles Lane, Harold Minjir, Edna May Oliver, Reginald Owen, Grace Goodall, Anna Q. Nilsson, Jack Norton, Florence Rice, Lee Bowman"
October Sky (DVD),108 min,Drama,01/25/2005,Joe Johnston,"Chris Cooper, Chris Owen, William Lee Scott, Jake Gyllenhaal, Laura Dern"
The 1971 Fillmore East Recordings (3 Music Blu-ray),,Music & Performance,07/29/2014,,
Once Upon A Texas Train (DVD),354 min,Western,05/03/2016,,"Richard Widmark, Angie Dickinson, Willie Nelson"
The Grateful Dead: View From the Vault II (DVD),230,Music & Performance,09/10/2013,Len dell'Amico,"Mickey Hart, Bruce Hornsby, Jerry Garcia, Bill Kreutzmann, Phil Lesh"
Beauty (DVD),861 min,Drama,,,"Janine Turner, Jamey Sheridan"
Country's Family Reunion: Looking Back Collection (DVD),400 min,Music & Performance,,,"Jimmy Dean, Ralph Stanley & The Clinch Mountain Boys"
Gold Diggers Of 1937 (DVD),101 min,Music & Performance,,,"Dick Powell, Joan Blondell, Glenda Farrell, Victor Moore"
The Land Before Time: The Complete Collection (DVD),1067,"Kids & Family, Anime & Animation",06/14/2016,,"Helen Shaver, Jeff Bennett, Brandon La Croix, Kris Kristofferson, Michael York"
Winnie The Pooh: Springtime With Roo (DVD),65 min,Anime & Animation,03/11/2014,Saul Andrew Blinkoff,"Ken Sansom, David Ogden Stiers, Jim Cummings, Jimmy Bennett"
At War with the Army (DVD),93 min,Comedy,07/29/2014,Hal Walker,"Jimmie Dundee, Jerry Lewis, Polly Bergen, Mike Kellin, Dean Martin, Dick Stabile"
Jumanji: Welcome to the Jungle (DVD + Digital),119 min,Comedy,,Jake Kasdan,"Alex Wolff, Madison Iseman, Bobby Cannavale, Karen Gillan, Rhys Darby, Jack Black, Dwayne Johnson, Ser'Darius Blain, Kevin Hart, Nick Jonas"
Battle Beyond The Stars (DVD),104 min,Action & Adventure,07/12/2011,Jimmy T. Murakami,"Lawrence Steven Meyers, George Peppard, Darlanne Fluegel, John Gowans, Robert Vaughn, John Saxon, Richard Thomas"
Cabaret (DVD),124 min,"Drama, Romance, Music & Performance",02/05/2013,Bob Fosse,"Liza Minnelli, Joel Grey, Fritz Wepper, Helmut Griem, Michael York, Marisa Berenson"
Godzilla And Mothra: The Battle For Earth / Godzilla Vs King Ghidorah / Godzilla: Mothra And King Ghidorah: Giant Monsters All-Out Attack (DVD),310,"Sci-Fi & Fantasy, Drama",04/09/2014,,
Like Water For Chocolate (Blu-ray),106,Romance,08/19/2014,Alfonso Arau,"Alfonso Arau, Claudette Maillé, M. Martinez, Ada Carrasco, Marco Leonardi, Lumi Cavazos, Regina Torne, Mario Ivan Martinez, Farnesio Dibernal"
Frozen (DVD),102 min,"Action & Adventure, Anime & Animation",03/18/2014,Chris Buck,"Maia Wilkins, Kristen Bell, Santino Fontana, Josh Gad, Aurelie Dupont, Jonathan Groff, Manuel Legris, Idina Menzel, Stephen J Anderson"
Kidsongs: Country Sing-Along (DVD),30 min,Kids & Family,11/05/2002,Bruce Gowers,
The Brothers Dream...Alive (DVD),,"Religion & Spirituality, Music & Performance",05/02/2006,,Jackson Southernaires
The General's Daughter,116 MINUTE,Drama,01/01/2013,Simon West,"Timothy Hutton, Clarence Williams III, Leslie Stefanson, Daniel Von Bargen, Madeleine Stowe, James Woods, James Cromwell, John Travolta"
Iron Man 2 (Blu-ray + Digital),124 min,Action & Adventure,,"Jon Favreau, Kevin Feige, Justin Theroux","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell, Clark Gregg, John Slattery, Mickey Rourke, Samuel L. Jackson, Paul Bettany, Jon Favreau"
Funny Face (DVD),103 min,Musical,,Stanley Donen,"Ashley Long, Audrey Hepburn, Fred Astaire, Sunny Hartnett, Brandi Lyons, Austin O'Riley, Kate Frost, Christopher Streams, Mark Ashley, Kay Thompson, Robert Flemyng, Taylor Lynn, Pat Myne, Dic Tracy, John West, Samantha Sterlyng, Michel Auclair, Gia"
The Best Man / The Best Man Holiday (DVD),243,"Kids & Family, Holiday, Comedy",01/13/2015,Malcolm Lee,"Taye Diggs, Nia Long, Morris Chestnut, Harold Perrineau, Monica Calhoun, Mellisa De. Sousa, Regina Hall"
Curly Sue (1991) (DVD),102.00 min,Comedy,,John Hughes,James Belushi;Kelly Lynch;Alisan Porter;John Getz;Fred Dalton Thompson;Cameron Thor;Branscombe Richmond
Stargate The Movie (Blu-ray + Digital HD),111,Action & Adventure,10/28/2014,Roland Emmerich,"Dean Devlin, Carlos Lauchu, Kurt Russell, Alexis Cruz, Viveca Lindfors, Jaye Davidson, James Spader, Djimon Hounsou, French Stewart, Christopher John Fields, Roland Emmerich, Derek Webster"
The Metropolitan Opera: Encores! Great Performances at the Met (DVD),80 mins.,"Drama, Music & Performance",,,
Throw Momma From The Train (DVD),88 min,Comedy,04/21/2005,Danny DeVito,"Kate Mulgrew, Annie Louise Ross, Danny De Vito, Danny DeVito, Anne Ramsey, Kim Greist, Billy Crystal, Joey DePinto"
The Lizzie McGuire Movie (DVD),94 min,"Action & Adventure, Anime & Animation",08/12/2003,Jim Fall,"Hallie Todd, Hilary Duff, Ashlie Brillault, Adam Lamberg, Yani Gellman, Daniel Escobar, Peter Kelamis, Robert Carradine"
A Dog's Purpose (DVD),120 min,Drama,,Lasse Hallstrom,"Britt Robertson, Josh Gad, John Ortiz, Dennis Quaid, KJ Apa"
Plan 9 From Outer Space (Blu-ray),158 min,Drama,03/06/2012,Ed Wood,"Duke Moore, Karl Johnson, Stephen C. Apostolof, Criswell, Charles Duncan, Carl Anthony, Mona McKinnon, Bruce Campbell, Trevor Duncan, Johnny Duncan, Tom Kemp, Bela Lugosi, Maila ""Vampira"" Nurmi, Tor Johnson, Gloria Dea, Gregory Walcott, Tom Keene"
White Fang,109 min,"Action & Adventure, Anime & Animation",04/23/2002,Randal Kleiser,"Seymour Cassel, Clint Youngreen, Susan Hogan, Jack London, Klaus Maria Brandauer, Jed, Ethan Hawke, Jeanne Rosenberg, James Remar, Klaus-Maria Brandauer"
Fireproof (DVD),118 min,Drama,01/27/2009,Alex Kendrick,"Harris Malcom, Ken Bevel, Kirk Cameron, Phyllis Malcom, Erin Bethea, Jason McLeod, Harris Malcolm"
Quentin Tarantino Triple Feature (DVD),634 min,Action & Adventure,05/15/2012,Quentin Tarantino,"Pam Grier, Harvey Keitel, Samuel L. Jackson, John Travolta"
Bob Dylan: 30th Anniversary Concert Celebration (Blu-ray),,Music & Performance,,,Bob Dylan
When the Bough Breaks (DVD),107,"Drama, Mystery & Suspense",03/31/2017,Jon Cassar,"Morris Chestnut, Regina Hall, Romany Malco"
Foreign Correspondent (DVD),120,Drama,10/07/2014,Alfred Hitchcock,"Charles Halton, Charles Waggenheim, Joel McCrea, Edward Conrad, Eduardo Ciannelli, Albert Basserman, George Sanders, Laraine Day, Herbert Marshall"
King Arthur: Legend of the Sword (Blu-ray + DVD + Digital),115 min,Action & Adventure,"August 8, 2017",Guy Ritchie,"Astrid Berges-Frisbey, Eric Bana, Aidan Gillen, Annabelle Wallis, Djimon Hounsou, Charlie Hunnam, Jude Law"
"Sex, Lies & Death (DVD)",86 min,Romance,05/03/2011,Ramiro Meneses,"Carolina Sepulveda, Andrea Lopez, Margalida Castro, Alejandrá Pinzon, Martha Isabel Bolaños, Alejandr Pinzon, Maria Alejandra Pinzon, Martha Isabel Bola os"
The Other Sister (DVD),130 min,"Comedy, Anime & Animation",09/07/1999,Garry Marshall,"Juliette Lewis, Tom Skerritt, Marvin Braverman, Diane Keaton, Harvey Miller, Hope Alexander-Willis, Giovanni Ribisi, Tracy Reiner, Poppy Montgomery"
Some Kind Of Wonderful (DVD),94 min,"Drama, Romance",,Howard Deutch,"Gwen van Dam, Eric Stoltz, Craig Sheffer, Mary Stuart Masterson, John Ashton, Pat McNamara, Lea Thompson"
Scary Movie 4 (DVD),91 min,Comedy,08/15/2006,David Zucker,"Simon Rex, Regina Hall, André Benjamin, Craig Bierko, Anthony Anderson, Anna Faris"
Joe Bonamassa: Muddy Wolf at Red Rocks (DVD),120,Music & Performance,03/24/2015,,Joe Bonamassa
Pitch Perfect 3 (DVD),93 min,Comedy,,Trish Sie,"Anna Kendrick,Rebel Wilson,Brittany Snow"
Funny Girl (DVD),147 min,Music & Performance,10/23/2001,William Wyler,"Anne Francis, Kay Medford, Barbra Streisand, Walter Pidgeon, Omar Sharif"
Annie (Blu-ray),127 min,"Comedy, Music & Performance",10/02/2012,John Huston,"Aileen Quinn, Garrett Brown, Pamela Blair, Jerry Brutsche, Bernadette Peters, Ralph Burns, William Apperson, Carol Burnett, Jophery C. Brown, Ann Reinking, Jeff Bushelman, Albert Finney, Gene S. Cantamessa, Raul A. Bruce, Jeff Carson, Bobby Brown, Theoni V. Aldredge, Margaret Booth, Tina Caspary"
I Dood It (DVD),97 min,Drama,12/18/2009,Vincente Minnelli,"Eleanor Powell, Jimmy Dorsey, Helen O'Connell, Richard Ainley, Patricia Dane, Andrew Tombes, Sam Levene, Red Skelton, Lena Horne, Marjorie Gateson"
Beyonce: I Am World Tour (Blu-ray),99 min,Music & Performance,,Ed Burke,"Kanye West, Keisha, Dizzy Blond, Joel Lawrence, Wendi Knight, Beyoncé, Amber SexXxum, Beyonce Knowles, Pat Myne, Ryan Conner, Samantha Sterlyng, Tara, Nacho Vidal"
The BFG (DVD),118 min,"Kids & Family, Action & Adventure, Anime & Animation",12/06/2016,Steven Spielberg,"Mark Rylance, Penelope Wilton"
Beloved (DVD),172 min,Drama,08/31/2001,Kristi Zea,"Carol-Jean Lewis, Thandie Newton, Akosua Busia, Kimberly Elise, Kessia Randall, Oprah Winfrey, Danny Glover, Beah Richards"
The Little Prince (DVD),109 min,,,,"Lesley Garrett, Mairead Carlin, Joseph McManners, Teddy Tahu Rhodes, Willard White"
Batman: Gotham Knight (Blu-ray),75 min,Action,,Hiroshi Morioka,"Ana Ortiz, David McCallum, Kevin Conroy, Gary Dourdan, Parminder Nagra"
G.I. Jane (DVD),125 min,"Anime & Animation, Action & Adventure",08/31/2001,Ridley Scott,"Demi Moore, Viggo Mortensen, Jason Beghe, Anne Bancroft, Scott Wilson, John Michael Higgins"
George of the Jungle,92 min,Anime & Animation,12/12/2000,Sam Weisman,"Jay Ward, Peter Abrahamson, Lydell Cheshier, Jon Title, Abdoulaye N'Gom, Michael M. Vendrell, Robert Tygner, Todd Toon, Seth Arnett, Terry Austin, Leslie Mann, Nick Vidar, Larry Whitaker, Jon Avnet, Nancy Thurston, Steve Blalock, Kent Beyda, Joe Walser, John Alexander, Philip Tan, Keith Shartle, Brendan Fraser, Phil Adams, Thomas E. Ackerman, Roger Bondelli, Denny H. Thorlaksen, Richard Roundtree, Justin Bourret, Lou Arkoff, John Cleese, Sven-Ole Thorsen, Terry Anderson, Afton Smith, Audrey Wells, Lauren Bowles, Thomas Haden Church"
The Kennedys Mini-Series (DVD),360,Drama,09/20/2011,Jon Cassar,"Serge Houde, Dan Lett, Greg Kinnear, Jonathan Whittaker, Angela Besharah, Don Allison, Katie Holmes, Tom Wilkinson, Janelle Hutchison, Enrico Colantoni, Rothaford Gray, Diana Hardcastle, Barry Pepper, Rachel Wilson"
Ant-Man (Blu-ray 3D + Blu-ray + Digital HD),117 min,Action & Adventure,12/08/2015,Peyton Reed,"Paul Rudd, Evangeline Lilly, Corey Stoll, Bobby Cannavale, Michael Pena, Judy Greer, Tip ""TI"" Harris, David Dastmalchian"
The Accountant (Blu-ray),120 min,Action & Adventure,,Gavin O’Connor,"Ben Affleck,Anna Kendrick,J.K. Simmons,Jon Bernthal,Jean Smart,Cynthia Addai-Robinson,Jeffrey Tambor,John Lithgow"
The Best Little Whorehouse in Texas (DVD),105,Comedy,10/11/2016,,"Burt Reynolds, Dolly Parton, Dom DeLuise, Charles Durning, Jim Nabors, Robert Mandan"
Frankenstein's Castle & Dracula's Love: Elvira's (DVD),174,Horror,09/19/2006,Robert H Oliver,"Loren Ewing, Paul Naschy, Alessandro Perrella, Rosanna Yanni, Simonetta Vitelli, Xiro Papas, Salvatore Baccaro, Michael Dunn, Mirta Miller, Ingrid Garbo, Rossano Brazzi, Christiane Rucker"
Vice (DVD),132 min,Drama,,Adam McKay,"Amy Adams, Christian Bale, Alison Pill, Steve Carell, Bill Camp, Sam Rockwell, Eddie Marsan, Justin Kirk, Lisa Gay Hamilton, Jesse Plemons"
John Lennon & the Plastic Ono Band: Live in Toronto '69 (DVD),56 min,Special Interests,06/23/2009,D.A. Pennebaker,"John Lennon, Yoko Ono, Klaus Voormann, Bo Diddley, Eric Clapton"
Secondhand Lions (Other),109 min,"Drama, Comedy",,Tim McCanlies,"Kyra Sedgwick, Michael Caine, Haley Joel Osment, Nicky Katt, Robert Duvall"
The Yearling (DVD),128 min,Drama,,Clarence Brown,"Claude Jarman, Jr., Donn Gift, Henry Travers, Claude Jarman Jr., Matt Willis, June Lockhart, Jane Wyman, Forrest Tucker, Daniel White, Chill Wills, Gregory Peck, Paul Osborn"
Oasis: Supersonic (DVD),126,Music & Performance,12/20/2016,,Noel Gallagher
Hansel & Gretel: Witch Hunters (DVD),88 mins.,Sci-Fi & Fantasy,,Tommy Wirkola,"Gemma Christina Arterton, Jeremy Renner"
Jesse Stone: Sea Change (DVD),87 min,Drama,02/26/2008,Robert Harmon,"Tom Selleck, Kohl Sudduth, Viola Davis, Vito Rezza, Stephen McHattie"
Elysium (Blu-ray + DVD + Digital HD),110 min,Action & Adventure,12/17/2013,Neill Blomkamp,"Alice Braga, Jodie Foster, Emiliano Menchaca, Alexander Raymond, Terry Chen, Matt Damon, Simon Leung, Diego Luna, Julian Christopher, Sharlto Copley, Angelina Pratap"
Midnight in Paris (DVD),94 min,Drama,12/20/2011,Woody Allen,"Marion Cotillard, Rachel McAdams, Gad Elmaleh, Owen Wilson, Adrien Brody, Kathy Bates, Carla Bruni"
The Pirates of Penzance (Blu-ray),112 min,Music & Performance,,Wilford Leach,"Kevin Kline, Angela Lansbury"
Yogi Bear / The Ant Bully (DVD),,Kids & Family,,,
Doris Day: The Essential Collection (DVD),1543 mins.,Comedy,04/07/2015,Michael Curtiz,"John Carradine, Suzanna Love, Ron James, Jay Wright, Nicholas Love, Ulli Lommel, Jane Pratt, Felicite Morgan"
Beverly Hills Chihuahua 2 (DVD),84 min,Comedy,02/01/2011,Alex Zamm,"Christine Lakin, Odette Yustman, Emily Osment, Zachary Gordon, George Lopez, Madison Pettis"
A Little Chaos (DVD),117,Comedy,04/14/2015,Alan Rickman,"Stanley Tucci, Kate Winslet, Alan Rickman"
The 'Burbs (Blu-ray),102 mins.,Comedy,08/16/2016,Joe Dante,"Bruce Dern, Tom Hanks, Carrie Fisher"
Sex and Death 101 (Blu-ray),117 min,Comedy,07/01/2008,Daniel Waters,"Simon Baker-Denny, Jessica Kiper, Nicole Bilderback, Simon Baker, Winona Ryder, Leslie Bibb, Keram Malicki-Sanchez, Mindy Cohn, Patton Oswalt, Candice Coke"
Star Wars: The Force Awakens (DVD),136 min,Sci-Fi & Fantasy,04/05/2016,J.J. Abrams,"Harrison Ford, Mark Hamill, Carrie Fisher"
The Mind's Eye (DVD),87 min,"Drama, Action & Adventure",10/04/2016,Joe Begos,"Graham Skipper, Lauren Ashley Carter"
Cabin Fever (DVD),92 min,Horror,01/20/2004,Eli Roth,"James DeBello, Rider Strong, Cerina Vincent, Jordan Ladd, Robert H. Harris, Joey Kern, David Kaufbird"
Notte Magica: A Tribute to Three Tenors (Live) (DVD),,,"November 4, 2016",,
Lucy (4K Ultra HD + Blu-ray + Digital HD),89 mins.,Drama,,Luc Besson,Morgan Freeman
Tyler Perry's Madea Goes to Jail (Blu-ray),109 min,Comedy,12/23/2010,Tyler Perry,"Benjamin Ben?tez, Sofia Vergara, Ronreaco M. Lee, David Mann, Derek Luke, Tyler Perry, Aisha Hinds, Njema Williams, Tamela Mann, Karan Kendrick, Richard Malcolm Reed, Keshia Knight Pulliam"
TCM Greatest Classic Films Collection: Family - The Incredible Mr. Limpet / Flipper / National Velvet / Lassie Come Home (Full Frame),401,Kids & Family,11/03/2009,"Fred M. Wilcox, James Clark, Arthur Lubin, Clarence Brown","Don Knotts, Chuck Connors, Luke Halpin, Elizabeth Taylor, Mickey Rooney, Roddy McDowall"
The Rescuers and The Rescuers Down Under (35th Anniversary Edition) (DVD + Blu-ray),156,"Kids & Family, Anime & Animation",08/21/2012,Milt Kahl,"Pat Buttram, Fibber McGee and Molly, John Lounsbery, Ted Berman, Bernard Fox, James MacDonald, Larry Clemmons, John Fiedler, Fred Lucky, Vance Gerry, Geraldine Page, Eva Gabor, Bob Newhart, Jeanette Nolan, George Lindsey, Joe Flynn, Jim Jordan, John McIntire, Ken Anderson"
Stephen King's Triple Feature,775 min,"Sci-Fi & Fantasy, Horror",,,"Frances Sternhagen, Molly Ringwald, Keith Szarabajka, Rob Lowe, Ed Lauter, Gary Sinise"
Michael Jackson's Vision (DVD),270 mins.,Music & Performance,,,Michael Jackson
Public Enemies (DVD),140 min,"Drama, Biography",12/08/2009,Michael Mann,"Christian Bale, Marion Cotillard, Channing Tatum, Johnny Depp, Giovanni Ribisi"
GODZILLA/PACIFIC RIM,,Sci-Fi & Fantasy,,,
No Time For Sergeants (DVD),119 min,Comedy,05/04/2010,Mervyn LeRoy,"Howard Smith, James Milhollan, Howard I. Smith, Murray Hamilton, Nick Adams, Andy Griffith, Myron McCormick"
Shout (DVD),89 min,Comedy,,Jeffrey Hornaday,"Frank Von Zerneck, Charles A. Taylor, Jerry Tullos, Jamie Walters, Kristina Simonds, Richard Jordan, Heather Graham, Linda Fiorentino, Gwyneth Paltrow, Pamela Bellamy-Franklin, Sam Hennings, John Travolta"
His Girl Friday (DVD),,Drama,07/19/2016,Howard Hawks,"Rosalind Russell, Cary Grant, Gene Lockhart, Helen Mack, Ralph Bellamy"
